Start..s.,End..s.,Scientific.name,Common.name,Confidence,Date_Time,Site
21,24,Troglodytes troglodytes,Eurasian Wren,0.8438,20230502_111200,B111
3,6,Troglodytes troglodytes,Eurasian Wren,0.9279,20230502_111800,B111
15,18,Troglodytes troglodytes,Eurasian Wren,0.9094,20230502_111800,B111
27,30,Troglodytes troglodytes,Eurasian Wren,0.8223,20230502_111800,B111
15,18,Troglodytes troglodytes,Eurasian Wren,0.8527,20230502_121800,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.9039,20230502_121800,B111
9,12,Troglodytes troglodytes,Eurasian Wren,0.8288,20230502_143000,B111
39,42,Psittacula krameri,Rose-ringed Parakeet,0.812,20230502_162400,B111
45,48,Psittacula krameri,Rose-ringed Parakeet,0.8305,20230502_162400,B111
48,51,Psittacula krameri,Rose-ringed Parakeet,0.8388,20230502_162400,B111
54,57,Psittacula krameri,Rose-ringed Parakeet,0.895,20230502_162400,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.8506,20230503_091200,B111
0,3,Troglodytes troglodytes,Eurasian Wren,0.8553,20230503_093600,B111
51,54,Troglodytes troglodytes,Eurasian Wren,0.8396,20230503_093600,B111
33,36,Psittacula krameri,Rose-ringed Parakeet,0.8982,20230503_101200,B111
51,54,Psittacula krameri,Rose-ringed Parakeet,0.8758,20230503_101200,B111
57,60,Troglodytes troglodytes,Eurasian Wren,0.8896,20230503_102400,B111
18,21,Troglodytes troglodytes,Eurasian Wren,0.8484,20230503_111800,B111
54,57,Troglodytes troglodytes,Eurasian Wren,0.8163,20230503_114800,B111
0,3,Troglodytes troglodytes,Eurasian Wren,0.9306,20230503_115400,B111
3,6,Troglodytes troglodytes,Eurasian Wren,0.8955,20230503_115400,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.8812,20230504_050000,B111
15,18,Troglodytes troglodytes,Eurasian Wren,0.8015,20230504_070600,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.8055,20230504_071200,B111
39,42,Aegithalos caudatus,Long-tailed Tit,0.9603,20230504_073600,B111
6,9,Troglodytes troglodytes,Eurasian Wren,0.8343,20230504_093600,B111
12,15,Troglodytes troglodytes,Eurasian Wren,0.8017,20230504_110600,B111
12,15,Psittacula krameri,Rose-ringed Parakeet,0.8555,20230504_131200,B111
54,57,Psittacula krameri,Rose-ringed Parakeet,0.8053,20230504_132400,B111
3,6,Troglodytes troglodytes,Eurasian Wren,0.8925,20230505_063600,B111
6,9,Troglodytes troglodytes,Eurasian Wren,0.8822,20230505_063600,B111
18,21,Troglodytes troglodytes,Eurasian Wren,0.8695,20230505_063600,B111
12,15,Troglodytes troglodytes,Eurasian Wren,0.8702,20230505_064200,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.9586,20230505_064200,B111
57,60,Troglodytes troglodytes,Eurasian Wren,0.8159,20230505_064200,B111
9,12,Troglodytes troglodytes,Eurasian Wren,0.8005,20230505_080000,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.8487,20230505_091800,B111
21,24,Troglodytes troglodytes,Eurasian Wren,0.8438,file_name,B111
3,6,Troglodytes troglodytes,Eurasian Wren,0.9279,file_name,B111
15,18,Troglodytes troglodytes,Eurasian Wren,0.9094,file_name,B111
27,30,Troglodytes troglodytes,Eurasian Wren,0.8223,file_name,B111
15,18,Troglodytes troglodytes,Eurasian Wren,0.8527,file_name,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.9039,file_name,B111
9,12,Troglodytes troglodytes,Eurasian Wren,0.8288,file_name,B111
39,42,Psittacula krameri,Rose-ringed Parakeet,0.812,file_name,B111
45,48,Psittacula krameri,Rose-ringed Parakeet,0.8305,file_name,B111
48,51,Psittacula krameri,Rose-ringed Parakeet,0.8388,file_name,B111
54,57,Psittacula krameri,Rose-ringed Parakeet,0.895,file_name,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.8506,file_name,B111
0,3,Troglodytes troglodytes,Eurasian Wren,0.8553,file_name,B111
51,54,Troglodytes troglodytes,Eurasian Wren,0.8396,file_name,B111
33,36,Psittacula krameri,Rose-ringed Parakeet,0.8982,file_name,B111
51,54,Psittacula krameri,Rose-ringed Parakeet,0.8758,file_name,B111
57,60,Troglodytes troglodytes,Eurasian Wren,0.8896,file_name,B111
18,21,Troglodytes troglodytes,Eurasian Wren,0.8484,file_name,B111
54,57,Troglodytes troglodytes,Eurasian Wren,0.8163,file_name,B111
0,3,Troglodytes troglodytes,Eurasian Wren,0.9306,file_name,B111
3,6,Troglodytes troglodytes,Eurasian Wren,0.8955,file_name,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.8812,file_name,B111
15,18,Troglodytes troglodytes,Eurasian Wren,0.8015,file_name,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.8055,file_name,B111
39,42,Aegithalos caudatus,Long-tailed Tit,0.9603,file_name,B111
6,9,Troglodytes troglodytes,Eurasian Wren,0.8343,file_name,B111
12,15,Troglodytes troglodytes,Eurasian Wren,0.8017,file_name,B111
12,15,Psittacula krameri,Rose-ringed Parakeet,0.8555,file_name,B111
54,57,Psittacula krameri,Rose-ringed Parakeet,0.8053,file_name,B111
3,6,Troglodytes troglodytes,Eurasian Wren,0.8925,file_name,B111
6,9,Troglodytes troglodytes,Eurasian Wren,0.8822,file_name,B111
18,21,Troglodytes troglodytes,Eurasian Wren,0.8695,file_name,B111
12,15,Troglodytes troglodytes,Eurasian Wren,0.8702,file_name,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.9586,file_name,B111
57,60,Troglodytes troglodytes,Eurasian Wren,0.8159,file_name,B111
9,12,Troglodytes troglodytes,Eurasian Wren,0.8005,file_name,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.8487,file_name,B111
21,24,Troglodytes troglodytes,Eurasian Wren,0.8438,output,B111
3,6,Troglodytes troglodytes,Eurasian Wren,0.9279,output,B111
15,18,Troglodytes troglodytes,Eurasian Wren,0.9094,output,B111
27,30,Troglodytes troglodytes,Eurasian Wren,0.8223,output,B111
15,18,Troglodytes troglodytes,Eurasian Wren,0.8527,output,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.9039,output,B111
9,12,Troglodytes troglodytes,Eurasian Wren,0.8288,output,B111
39,42,Psittacula krameri,Rose-ringed Parakeet,0.812,output,B111
45,48,Psittacula krameri,Rose-ringed Parakeet,0.8305,output,B111
48,51,Psittacula krameri,Rose-ringed Parakeet,0.8388,output,B111
54,57,Psittacula krameri,Rose-ringed Parakeet,0.895,output,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.8506,output,B111
0,3,Troglodytes troglodytes,Eurasian Wren,0.8553,output,B111
51,54,Troglodytes troglodytes,Eurasian Wren,0.8396,output,B111
33,36,Psittacula krameri,Rose-ringed Parakeet,0.8982,output,B111
51,54,Psittacula krameri,Rose-ringed Parakeet,0.8758,output,B111
57,60,Troglodytes troglodytes,Eurasian Wren,0.8896,output,B111
18,21,Troglodytes troglodytes,Eurasian Wren,0.8484,output,B111
54,57,Troglodytes troglodytes,Eurasian Wren,0.8163,output,B111
0,3,Troglodytes troglodytes,Eurasian Wren,0.9306,output,B111
3,6,Troglodytes troglodytes,Eurasian Wren,0.8955,output,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.8812,output,B111
15,18,Troglodytes troglodytes,Eurasian Wren,0.8015,output,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.8055,output,B111
39,42,Aegithalos caudatus,Long-tailed Tit,0.9603,output,B111
6,9,Troglodytes troglodytes,Eurasian Wren,0.8343,output,B111
12,15,Troglodytes troglodytes,Eurasian Wren,0.8017,output,B111
12,15,Psittacula krameri,Rose-ringed Parakeet,0.8555,output,B111
54,57,Psittacula krameri,Rose-ringed Parakeet,0.8053,output,B111
3,6,Troglodytes troglodytes,Eurasian Wren,0.8925,output,B111
6,9,Troglodytes troglodytes,Eurasian Wren,0.8822,output,B111
18,21,Troglodytes troglodytes,Eurasian Wren,0.8695,output,B111
12,15,Troglodytes troglodytes,Eurasian Wren,0.8702,output,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.9586,output,B111
57,60,Troglodytes troglodytes,Eurasian Wren,0.8159,output,B111
9,12,Troglodytes troglodytes,Eurasian Wren,0.8005,output,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.8487,output,B111
51,54,Troglodytes troglodytes,Eurasian Wren,0.8964,20230506_063600,B111
51,54,Troglodytes troglodytes,Eurasian Wren,0.8326,20230506_064200,B111
54,57,Troglodytes troglodytes,Eurasian Wren,0.9075,20230506_064200,B111
0,3,Troglodytes troglodytes,Eurasian Wren,0.8717,20230506_070000,B111
30,33,Troglodytes troglodytes,Eurasian Wren,0.8561,20230506_070000,B111
9,12,Troglodytes troglodytes,Eurasian Wren,0.8418,20230506_090600,B111
12,15,Troglodytes troglodytes,Eurasian Wren,0.9401,20230506_090600,B111
24,27,Troglodytes troglodytes,Eurasian Wren,0.8574,20230506_090600,B111
33,36,Troglodytes troglodytes,Eurasian Wren,0.9037,20230506_093600,B111
24,27,Erithacus rubecula,European Robin,0.8754,20230507_083600,B111
9,12,Psittacula krameri,Rose-ringed Parakeet,0.8804,20230507_161800,B111
0,3,Troglodytes troglodytes,Eurasian Wren,0.9292,20230508_180000,B111
36,39,Troglodytes troglodytes,Eurasian Wren,0.9092,20230508_182400,B111
0,3,Troglodytes troglodytes,Eurasian Wren,0.8515,20230509_050600,B111
24,27,Troglodytes troglodytes,Eurasian Wren,0.8555,20230509_062400,B111
39,42,Turdus iliacus,Redwing,0.9586,20230509_073000,B111
12,15,Parus major,Great Tit,0.8558,20230509_144800,B111
24,27,Troglodytes troglodytes,Eurasian Wren,0.8234,20230502_103000,B112
39,42,Troglodytes troglodytes,Eurasian Wren,0.8047,20230502_103000,B112
51,54,Troglodytes troglodytes,Eurasian Wren,0.809,20230502_103000,B112
39,42,Troglodytes troglodytes,Eurasian Wren,0.8071,20230503_074800,B112
42,45,Troglodytes troglodytes,Eurasian Wren,0.8143,20230503_084200,B112
3,6,Troglodytes troglodytes,Eurasian Wren,0.832,20230503_124800,B112
15,18,Troglodytes troglodytes,Eurasian Wren,0.8667,20230504_080600,B112
12,15,Troglodytes troglodytes,Eurasian Wren,0.8237,20230504_081800,B112
48,51,Troglodytes troglodytes,Eurasian Wren,0.8591,20230504_111800,B112
21,24,Troglodytes troglodytes,Eurasian Wren,0.8381,20230504_112400,B112
27,30,Troglodytes troglodytes,Eurasian Wren,0.8593,20230504_114200,B112
9,12,Erithacus rubecula,European Robin,0.8882,20230504_120600,B112
0,3,Psittacula krameri,Rose-ringed Parakeet,0.8774,20230504_163600,B112
18,21,Psittacula krameri,Rose-ringed Parakeet,0.9012,20230505_072400,B112
3,6,Psittacula krameri,Rose-ringed Parakeet,0.859,20230505_084200,B112
0,3,Garrulus glandarius,Eurasian Jay,0.9115,20230505_091200,B112
27,30,Troglodytes troglodytes,Eurasian Wren,0.8327,20230505_101800,B112
51,54,Troglodytes troglodytes,Eurasian Wren,0.8104,20230505_102400,B112
15,18,Troglodytes troglodytes,Eurasian Wren,0.8702,20230506_052400,B112
30,33,Troglodytes troglodytes,Eurasian Wren,0.8214,20230506_052400,B112
57,60,Psittacula krameri,Rose-ringed Parakeet,0.8463,20230506_073000,B112
57,60,Psittacula krameri,Rose-ringed Parakeet,0.8781,20230506_083000,B112
48,51,Psittacula krameri,Rose-ringed Parakeet,0.8864,20230506_094800,B112
57,60,Psittacula krameri,Rose-ringed Parakeet,0.8588,20230506_094800,B112
21,24,Troglodytes troglodytes,Eurasian Wren,0.8033,20230507_053600,B112
12,15,Psittacula krameri,Rose-ringed Parakeet,0.8695,20230507_074200,B112
3,6,Psittacula krameri,Rose-ringed Parakeet,0.8533,20230507_082400,B112
9,12,Psittacula krameri,Rose-ringed Parakeet,0.801,20230507_082400,B112
24,27,Psittacula krameri,Rose-ringed Parakeet,0.9129,20230507_082400,B112
33,36,Psittacula krameri,Rose-ringed Parakeet,0.8751,20230507_082400,B112
36,39,Psittacula krameri,Rose-ringed Parakeet,0.9291,20230507_082400,B112
39,42,Psittacula krameri,Rose-ringed Parakeet,0.9076,20230507_082400,B112
42,45,Psittacula krameri,Rose-ringed Parakeet,0.9047,20230507_082400,B112
54,57,Psittacula krameri,Rose-ringed Parakeet,0.9298,20230507_082400,B112
57,60,Psittacula krameri,Rose-ringed Parakeet,0.9299,20230507_082400,B112
0,3,Psittacula krameri,Rose-ringed Parakeet,0.8062,20230507_083000,B112
3,6,Psittacula krameri,Rose-ringed Parakeet,0.8987,20230507_083000,B112
12,15,Psittacula krameri,Rose-ringed Parakeet,0.8849,20230507_083000,B112
36,39,Troglodytes troglodytes,Eurasian Wren,0.8091,20230507_133000,B112
54,57,Troglodytes troglodytes,Eurasian Wren,0.8332,20230508_051200,B112
21,24,Troglodytes troglodytes,Eurasian Wren,0.8313,20230508_051800,B112
6,9,Troglodytes troglodytes,Eurasian Wren,0.8081,20230508_061200,B112
9,12,Troglodytes troglodytes,Eurasian Wren,0.8009,20230508_061200,B112
21,24,Troglodytes troglodytes,Eurasian Wren,0.8519,20230508_061200,B112
24,27,Troglodytes troglodytes,Eurasian Wren,0.8755,20230508_061200,B112
3,6,Troglodytes troglodytes,Eurasian Wren,0.8879,20230508_063600,B112
15,18,Troglodytes troglodytes,Eurasian Wren,0.8848,20230508_064200,B112
18,21,Troglodytes troglodytes,Eurasian Wren,0.8098,20230508_064200,B112
27,30,Troglodytes troglodytes,Eurasian Wren,0.8367,20230508_064200,B112
39,42,Troglodytes troglodytes,Eurasian Wren,0.8141,20230508_064200,B112
42,45,Troglodytes troglodytes,Eurasian Wren,0.8635,20230508_064200,B112
3,6,Troglodytes troglodytes,Eurasian Wren,0.8403,20230508_070000,B112
15,18,Troglodytes troglodytes,Eurasian Wren,0.8013,20230508_080000,B112
18,21,Psittacula krameri,Rose-ringed Parakeet,0.8589,20230508_084200,B112
36,39,Psittacula krameri,Rose-ringed Parakeet,0.8009,20230508_084200,B112
30,33,Troglodytes troglodytes,Eurasian Wren,0.8946,20230508_103000,B112
42,45,Troglodytes troglodytes,Eurasian Wren,0.855,20230509_051200,B112
15,18,Troglodytes troglodytes,Eurasian Wren,0.8534,20230509_065400,B112
3,6,Psittacula krameri,Rose-ringed Parakeet,0.8017,20230509_073600,B112
12,15,Psittacula krameri,Rose-ringed Parakeet,0.8703,20230509_073600,B112
15,18,Psittacula krameri,Rose-ringed Parakeet,0.8921,20230509_073600,B112
21,24,Psittacula krameri,Rose-ringed Parakeet,0.8016,20230509_073600,B112
24,27,Psittacula krameri,Rose-ringed Parakeet,0.8945,20230509_073600,B112
48,51,Psittacula krameri,Rose-ringed Parakeet,0.8169,20230509_074200,B112
45,48,Troglodytes troglodytes,Eurasian Wren,0.8076,20230509_075400,B112
24,27,Troglodytes troglodytes,Eurasian Wren,0.8278,20230509_090600,B112
36,39,Troglodytes troglodytes,Eurasian Wren,0.8497,20230509_090600,B112
39,42,Troglodytes troglodytes,Eurasian Wren,0.8264,20230509_090600,B112
6,9,Erithacus rubecula,European Robin,0.9108,20230502_120600,B113
18,21,Erithacus rubecula,European Robin,0.8543,20230502_120600,B113
18,21,Troglodytes troglodytes,Eurasian Wren,0.8757,20230502_121200,B113
30,33,Troglodytes troglodytes,Eurasian Wren,0.9015,20230502_121200,B113
33,36,Troglodytes troglodytes,Eurasian Wren,0.952,20230502_121200,B113
45,48,Troglodytes troglodytes,Eurasian Wren,0.8521,20230502_121200,B113
0,3,Troglodytes troglodytes,Eurasian Wren,0.996,20230502_125400,B113
3,6,Troglodytes troglodytes,Eurasian Wren,0.9948,20230502_125400,B113
30,33,Troglodytes troglodytes,Eurasian Wren,0.8003,20230502_125400,B113
33,36,Troglodytes troglodytes,Eurasian Wren,0.9772,20230502_125400,B113
42,45,Troglodytes troglodytes,Eurasian Wren,0.9681,20230502_125400,B113
51,54,Troglodytes troglodytes,Eurasian Wren,0.8866,20230502_125400,B113
54,57,Troglodytes troglodytes,Eurasian Wren,0.9596,20230502_125400,B113
6,9,Troglodytes troglodytes,Eurasian Wren,0.9281,20230502_141200,B113
36,39,Troglodytes troglodytes,Eurasian Wren,0.961,20230502_141200,B113
48,51,Troglodytes troglodytes,Eurasian Wren,0.9469,20230502_141200,B113
3,6,Dendrocopos major,Great Spotted Woodpecker,0.8675,20230502_150600,B113
18,21,Dendrocopos major,Great Spotted Woodpecker,0.8616,20230502_150600,B113
21,24,Dendrocopos major,Great Spotted Woodpecker,0.8494,20230502_150600,B113
30,33,Dendrocopos major,Great Spotted Woodpecker,0.9551,20230502_150600,B113
36,39,Dendrocopos major,Great Spotted Woodpecker,0.9083,20230502_150600,B113
39,42,Dendrocopos major,Great Spotted Woodpecker,0.9399,20230502_150600,B113
42,45,Dendrocopos major,Great Spotted Woodpecker,0.938,20230502_150600,B113
48,51,Dendrocopos major,Great Spotted Woodpecker,0.8149,20230502_150600,B113
51,54,Dendrocopos major,Great Spotted Woodpecker,0.9609,20230502_150600,B113
54,57,Dendrocopos major,Great Spotted Woodpecker,0.9495,20230502_150600,B113
57,60,Dendrocopos major,Great Spotted Woodpecker,0.9453,20230502_150600,B113
3,6,Troglodytes troglodytes,Eurasian Wren,0.8036,20230502_153600,B113
9,12,Aegithalos caudatus,Long-tailed Tit,0.8488,20230502_154200,B113
51,54,Aegithalos caudatus,Long-tailed Tit,0.9169,20230502_155400,B113
36,39,Troglodytes troglodytes,Eurasian Wren,0.9114,20230502_160000,B113
39,42,Troglodytes troglodytes,Eurasian Wren,0.853,20230502_160000,B113
36,39,Psittacula krameri,Rose-ringed Parakeet,0.8444,20230502_160600,B113
0,3,Pica pica,Eurasian Magpie,0.8424,20230502_182400,B113
3,6,Pica pica,Eurasian Magpie,0.8613,20230502_182400,B113
9,12,Pica pica,Eurasian Magpie,0.9426,20230502_182400,B113
0,3,Pica pica,Eurasian Magpie,0.9587,20230502_183600,B113
9,12,Pica pica,Eurasian Magpie,0.8025,20230502_183600,B113
12,15,Pica pica,Eurasian Magpie,0.8491,20230502_183600,B113
15,18,Pica pica,Eurasian Magpie,0.9004,20230502_183600,B113
6,9,Troglodytes troglodytes,Eurasian Wren,0.8076,20230502_200000,B113
18,21,Troglodytes troglodytes,Eurasian Wren,0.8462,20230502_200000,B113
30,33,Troglodytes troglodytes,Eurasian Wren,0.8923,20230502_200000,B113
3,6,Erithacus rubecula,European Robin,0.8028,20230502_205400,B113
54,57,Erithacus rubecula,European Robin,0.8011,20230502_205400,B113
36,39,Troglodytes troglodytes,Eurasian Wren,0.9395,20230503_052400,B113
3,6,Troglodytes troglodytes,Eurasian Wren,0.859,20230503_053000,B113
6,9,Troglodytes troglodytes,Eurasian Wren,0.9298,20230503_053000,B113
36,39,Troglodytes troglodytes,Eurasian Wren,0.9254,20230503_053000,B113
0,3,Troglodytes troglodytes,Eurasian Wren,0.8348,20230503_053600,B113
9,12,Troglodytes troglodytes,Eurasian Wren,0.9302,20230503_053600,B113
21,24,Troglodytes troglodytes,Eurasian Wren,0.928,20230503_053600,B113
33,36,Troglodytes troglodytes,Eurasian Wren,0.9086,20230503_053600,B113
36,39,Troglodytes troglodytes,Eurasian Wren,0.9672,20230503_054200,B113
39,42,Troglodytes troglodytes,Eurasian Wren,0.981,20230503_054200,B113
45,48,Troglodytes troglodytes,Eurasian Wren,0.9735,20230503_054200,B113
48,51,Troglodytes troglodytes,Eurasian Wren,0.988,20230503_054200,B113
54,57,Troglodytes troglodytes,Eurasian Wren,0.9299,20230503_054200,B113
57,60,Troglodytes troglodytes,Eurasian Wren,0.9864,20230503_054200,B113
15,18,Troglodytes troglodytes,Eurasian Wren,0.9136,20230503_054800,B113
18,21,Troglodytes troglodytes,Eurasian Wren,0.9832,20230503_054800,B113
21,24,Troglodytes troglodytes,Eurasian Wren,0.9971,20230503_054800,B113
33,36,Troglodytes troglodytes,Eurasian Wren,0.8679,20230503_054800,B113
36,39,Troglodytes troglodytes,Eurasian Wren,0.9762,20230503_054800,B113
57,60,Troglodytes troglodytes,Eurasian Wren,0.879,20230503_054800,B113
0,3,Troglodytes troglodytes,Eurasian Wren,0.9872,20230503_055400,B113
3,6,Troglodytes troglodytes,Eurasian Wren,0.9911,20230503_055400,B113
24,27,Psittacula krameri,Rose-ringed Parakeet,0.9711,20230503_055400,B113
3,6,Troglodytes troglodytes,Eurasian Wren,0.9917,20230503_061800,B113
6,9,Troglodytes troglodytes,Eurasian Wren,0.9709,20230503_061800,B113
15,18,Troglodytes troglodytes,Eurasian Wren,0.9938,20230503_061800,B113
18,21,Troglodytes troglodytes,Eurasian Wren,0.9902,20230503_061800,B113
33,36,Troglodytes troglodytes,Eurasian Wren,0.9922,20230503_061800,B113
36,39,Troglodytes troglodytes,Eurasian Wren,0.981,20230503_061800,B113
48,51,Troglodytes troglodytes,Eurasian Wren,0.9492,20230503_061800,B113
51,54,Troglodytes troglodytes,Eurasian Wren,0.993,20230503_061800,B113
0,3,Troglodytes troglodytes,Eurasian Wren,0.9897,20230503_062400,B113
12,15,Troglodytes troglodytes,Eurasian Wren,0.9226,20230503_062400,B113
15,18,Troglodytes troglodytes,Eurasian Wren,0.9924,20230503_062400,B113
18,21,Troglodytes troglodytes,Eurasian Wren,0.8384,20230503_062400,B113
27,30,Troglodytes troglodytes,Eurasian Wren,0.9367,20230503_062400,B113
30,33,Troglodytes troglodytes,Eurasian Wren,0.985,20230503_062400,B113
33,36,Troglodytes troglodytes,Eurasian Wren,0.9466,20230503_062400,B113
39,42,Troglodytes troglodytes,Eurasian Wren,0.9868,20230503_062400,B113
42,45,Troglodytes troglodytes,Eurasian Wren,0.9908,20230503_062400,B113
45,48,Troglodytes troglodytes,Eurasian Wren,0.8551,20230503_062400,B113
57,60,Troglodytes troglodytes,Eurasian Wren,0.9913,20230503_062400,B113
21,24,Troglodytes troglodytes,Eurasian Wren,0.8495,20230503_070000,B113
51,54,Troglodytes troglodytes,Eurasian Wren,0.8943,20230503_070600,B113
30,33,Troglodytes troglodytes,Eurasian Wren,0.93,20230503_074200,B113
33,36,Troglodytes troglodytes,Eurasian Wren,0.9787,20230503_074200,B113
51,54,Troglodytes troglodytes,Eurasian Wren,0.9287,20230503_074200,B113
54,57,Troglodytes troglodytes,Eurasian Wren,0.9859,20230503_074200,B113
0,3,Troglodytes troglodytes,Eurasian Wren,0.9394,20230503_103600,B113
15,18,Troglodytes troglodytes,Eurasian Wren,0.971,20230503_103600,B113
18,21,Troglodytes troglodytes,Eurasian Wren,0.8964,20230503_103600,B113
36,39,Cyanistes caeruleus,Eurasian Blue Tit,0.8073,20230503_104200,B113
57,60,Cyanistes caeruleus,Eurasian Blue Tit,0.9078,20230503_104200,B113
39,42,Troglodytes troglodytes,Eurasian Wren,0.8457,20230503_104800,B113
18,21,Troglodytes troglodytes,Eurasian Wren,0.8045,20230503_113600,B113
30,33,Troglodytes troglodytes,Eurasian Wren,0.8326,20230503_113600,B113
48,51,Troglodytes troglodytes,Eurasian Wren,0.8455,20230503_114200,B113
33,36,Troglodytes troglodytes,Eurasian Wren,0.8019,20230503_114800,B113
9,12,Troglodytes troglodytes,Eurasian Wren,0.8796,20230503_121800,B113
21,24,Troglodytes troglodytes,Eurasian Wren,0.8316,20230503_121800,B113
24,27,Troglodytes troglodytes,Eurasian Wren,0.8657,20230503_121800,B113
6,9,Troglodytes troglodytes,Eurasian Wren,0.8495,20230503_123600,B113
42,45,Troglodytes troglodytes,Eurasian Wren,0.9008,20230503_123600,B113
54,57,Troglodytes troglodytes,Eurasian Wren,0.8391,20230503_123600,B113
33,36,Troglodytes troglodytes,Eurasian Wren,0.8581,20230503_124200,B113
51,54,Troglodytes troglodytes,Eurasian Wren,0.8647,20230503_124200,B113
57,60,Troglodytes troglodytes,Eurasian Wren,0.8159,20230503_131200,B113
0,3,Sylvia atricapilla,Eurasian Blackcap,0.9622,20230503_131800,B113
3,6,Sylvia atricapilla,Eurasian Blackcap,0.9769,20230503_131800,B113
12,15,Troglodytes troglodytes,Eurasian Wren,0.8917,20230503_133600,B113
24,27,Troglodytes troglodytes,Eurasian Wren,0.9252,20230503_133600,B113
42,45,Cyanistes caeruleus,Eurasian Blue Tit,0.8242,20230503_135400,B113
0,3,Aegithalos caudatus,Long-tailed Tit,0.9384,20230503_141800,B113
3,6,Aegithalos caudatus,Long-tailed Tit,0.8791,20230503_141800,B113
9,12,Aegithalos caudatus,Long-tailed Tit,0.8866,20230503_141800,B113
12,15,Aegithalos caudatus,Long-tailed Tit,0.9047,20230503_141800,B113
15,18,Aegithalos caudatus,Long-tailed Tit,0.8666,20230503_141800,B113
18,21,Aegithalos caudatus,Long-tailed Tit,0.9835,20230503_141800,B113
21,24,Aegithalos caudatus,Long-tailed Tit,0.9951,20230503_141800,B113
27,30,Aegithalos caudatus,Long-tailed Tit,0.9947,20230503_141800,B113
30,33,Aegithalos caudatus,Long-tailed Tit,0.8004,20230503_141800,B113
36,39,Aegithalos caudatus,Long-tailed Tit,0.9881,20230503_141800,B113
45,48,Aegithalos caudatus,Long-tailed Tit,0.985,20230503_141800,B113
54,57,Turdus iliacus,Redwing,0.8285,20230503_144200,B113
3,6,Troglodytes troglodytes,Eurasian Wren,0.8625,20230503_150600,B113
12,15,Troglodytes troglodytes,Eurasian Wren,0.8113,20230503_153600,B113
30,33,Troglodytes troglodytes,Eurasian Wren,0.8185,20230503_153600,B113
6,9,Aegithalos caudatus,Long-tailed Tit,0.9245,20230503_154200,B113
15,18,Aegithalos caudatus,Long-tailed Tit,0.9805,20230503_154200,B113
18,21,Aegithalos caudatus,Long-tailed Tit,0.895,20230503_154200,B113
21,24,Aegithalos caudatus,Long-tailed Tit,0.8661,20230503_154200,B113
24,27,Aegithalos caudatus,Long-tailed Tit,0.9033,20230503_154200,B113
51,54,Aegithalos caudatus,Long-tailed Tit,0.8784,20230503_154200,B113
54,57,Troglodytes troglodytes,Eurasian Wren,0.8859,20230503_155400,B113
9,12,Troglodytes troglodytes,Eurasian Wren,0.8688,20230503_165400,B113
21,24,Troglodytes troglodytes,Eurasian Wren,0.9027,20230504_053600,B113
3,6,Erithacus rubecula,European Robin,0.8028,20230504_063600,B113
18,21,Erithacus rubecula,European Robin,0.8484,20230504_063600,B113
30,33,Erithacus rubecula,European Robin,0.8413,20230504_063600,B113
27,30,Parus major,Great Tit,0.8096,20230504_064200,B113
42,45,Parus major,Great Tit,0.8643,20230504_064200,B113
6,9,Troglodytes troglodytes,Eurasian Wren,0.9292,20230504_073600,B113
9,12,Troglodytes troglodytes,Eurasian Wren,0.8901,20230504_073600,B113
42,45,Troglodytes troglodytes,Eurasian Wren,0.8702,20230504_073600,B113
45,48,Troglodytes troglodytes,Eurasian Wren,0.8345,20230504_073600,B113
45,48,Troglodytes troglodytes,Eurasian Wren,0.8253,20230504_081200,B113
57,60,Aegithalos caudatus,Long-tailed Tit,0.9212,20230504_084200,B113
3,6,Aegithalos caudatus,Long-tailed Tit,0.9416,20230504_091200,B113
6,9,Aegithalos caudatus,Long-tailed Tit,0.8194,20230504_091200,B113
12,15,Aegithalos caudatus,Long-tailed Tit,0.984,20230504_091200,B113
15,18,Aegithalos caudatus,Long-tailed Tit,0.9707,20230504_091200,B113
18,21,Aegithalos caudatus,Long-tailed Tit,0.9567,20230504_091200,B113
21,24,Aegithalos caudatus,Long-tailed Tit,0.9156,20230504_091200,B113
24,27,Aegithalos caudatus,Long-tailed Tit,0.8848,20230504_091200,B113
27,30,Aegithalos caudatus,Long-tailed Tit,0.9122,20230504_091200,B113
30,33,Aegithalos caudatus,Long-tailed Tit,0.912,20230504_091200,B113
36,39,Aegithalos caudatus,Long-tailed Tit,0.9113,20230504_091200,B113
