"site","date_time","ampl_mean"
"B111","20230507_000000",0.00355870532157958
"B111","20230507_000600",0.00264367612983862
"B111","20230507_001200",0.00277508053549172
"B111","20230507_001800",0.00389195901764085
"B111","20230507_002400",0.0033107353774913
"B111","20230507_003000",0.0028062084335911
"B111","20230507_003600",0.00378304078852208
"B111","20230507_004200",0.00383320782000199
"B111","20230507_004800",0.00376842749128064
"B111","20230507_005400",0.00364126120149557
"B111","20230507_010000",0.00310178027312001
"B111","20230507_010600",0.00315157519727362
"B111","20230507_011200",0.00299117556630719
"B111","20230507_011800",0.00382438580007507
"B111","20230507_012400",0.00354489603470257
"B111","20230507_013000",0.00306999052925799
"B111","20230507_013600",0.00304282941051475
"B111","20230507_014200",0.00330599783733836
"B111","20230507_014800",0.00291137966396024
"B111","20230507_015400",0.00314518263931924
"B111","20230507_020000",0.00332450407645122
"B111","20230507_020600",0.00364622114576561
"B111","20230507_021200",0.00263132279728941
"B111","20230507_021800",0.00318109861518295
"B111","20230507_022400",0.0047886289102384
"B111","20230507_023000",0.00251639492912912
"B111","20230507_023600",0.00313335272647428
"B111","20230507_024200",0.00298559627919489
"B111","20230507_024800",0.00322235734416337
"B111","20230507_025400",0.00333964793616818
"B111","20230507_030000",0.00388624376170755
"B111","20230507_030600",0.0029858218226593
"B111","20230507_031200",0.00294346944836277
"B111","20230507_031800",0.00274338527067238
"B111","20230507_032400",0.00270842288359421
"B111","20230507_033000",0.00300636695759961
"B111","20230507_033600",0.00466030042867468
"B111","20230507_034200",0.0026250551698718
"B111","20230507_034800",0.00335927705071166
"B111","20230507_035400",0.00296362920460765
"B111","20230507_040000",0.00345340049613275
"B111","20230507_040600",0.0029088329563885
"B111","20230507_041200",0.00353544781578831
"B111","20230507_041800",0.00347322934372629
"B111","20230507_042400",0.00349178051205997
"B111","20230507_043000",0.00283659399733037
"B111","20230507_043600",0.00346386794500068
"B111","20230507_044200",0.00244338085364448
"B111","20230507_044800",0.00257155261069857
"B111","20230507_045400",0.00288530666450731
"B111","20230507_050000",0.00404337208070456
"B111","20230507_050600",0.00330195061487763
"B111","20230507_051200",0.0032653784286032
"B111","20230507_051800",0.00271455408065886
"B111","20230507_052400",0.00317492032447153
"B111","20230507_053000",0.00324941346798499
"B111","20230507_053600",0.00284134872685819
"B111","20230507_054200",0.00300527174504593
"B111","20230507_054800",0.00351697908136832
"B111","20230507_055400",0.00298934441196674
"B111","20230507_060000",0.00341524189995272
"B111","20230507_060600",0.00318932303402872
"B111","20230507_061200",0.00311878949104397
"B111","20230507_061800",0.00346948250718108
"B111","20230507_062400",0.00275221114830579
"B111","20230507_063000",0.0038086416167729
"B111","20230507_063600",0.00335051787315432
"B111","20230507_064200",0.00332380781030056
"B111","20230507_064800",0.00303939264405394
"B111","20230507_065400",0.00436935667536155
"B111","20230507_070000",0.00246837358590663
"B111","20230507_070600",0.0031946381830987
"B111","20230507_071200",0.00419111445151945
"B111","20230507_071800",0.00346472439566408
"B111","20230507_072400",0.00352251051004728
"B111","20230507_073000",0.00298810199658623
"B111","20230507_073600",0.00314592276147543
"B111","20230507_074200",0.00327591594272839
"B111","20230507_074800",0.0029307393988399
"B111","20230507_075400",0.00274575878333976
"B111","20230507_080000",0.00308913710885339
"B111","20230507_080600",0.00312670209024064
"B111","20230507_081200",0.00302685232676388
"B111","20230507_081800",0.00378817300768059
"B111","20230507_082400",0.00335189393338009
"B111","20230507_083000",0.00297589532479608
"B111","20230507_083600",0.00286247812443834
"B111","20230507_084200",0.00315402354113838
"B111","20230507_084800",0.00292599981430259
"B111","20230507_085400",0.00365981656977468
"B111","20230507_090000",0.00277478492717761
"B111","20230507_090600",0.00304412203792575
"B111","20230507_091200",0.00276965492610652
"B111","20230507_091800",0.00306589319810918
"B111","20230507_092400",0.00332134369768007
"B111","20230507_093000",0.00327014458648064
"B111","20230507_093600",0.00365766676223508
"B111","20230507_094200",0.00312245041253503
"B111","20230507_094800",0.00341903408715473
"B111","20230507_095400",0.00271962625747605
"B111","20230507_100000",0.00300038729005522
"B111","20230507_100600",0.0030268034188611
"B111","20230507_101200",0.00289802184436474
"B111","20230507_101800",0.00292211567791333
"B111","20230507_102400",0.00330206783670285
"B111","20230507_103000",0.00255668203805716
"B111","20230507_103600",0.00337314152966113
"B111","20230507_104200",0.00348855024369408
"B111","20230507_104800",0.0031812899726961
"B111","20230507_105400",0.00344324924293728
"B111","20230507_110000",0.00320397660184514
"B111","20230507_110600",0.00347206779962997
"B111","20230507_111200",0.00295445737279738
"B111","20230507_111800",0.00328209365127985
"B111","20230507_112400",0.00388359833045371
"B111","20230507_113000",0.00313518810676439
"B111","20230507_113600",0.00324352988456868
"B111","20230507_114200",0.00992932849059162
"B111","20230507_114800",0.00264505119120508
"B111","20230507_115400",0.00320407182240152
"B111","20230507_120000",0.00263838044916277
"B111","20230507_120600",0.00246468234128162
"B111","20230507_121200",0.00350375656571777
"B111","20230507_121800",0.00276718693296586
"B111","20230507_122400",0.00319021676420702
"B111","20230507_123000",0.0033554424739784
"B111","20230507_123600",0.00315178120238527
"B111","20230507_124200",0.00265330525923256
"B111","20230507_124800",0.00303157848849801
"B111","20230507_125400",0.00324751463299785
"B111","20230507_130000",0.00310330000312488
"B111","20230507_130600",0.00453636920011418
"B111","20230507_131200",0.00283476765724695
"B111","20230507_131800",0.00342119189608428
"B111","20230507_132400",0.00311139007969659
"B111","20230507_133000",0.00249896957526009
"B111","20230507_133600",0.0032808609129297
"B111","20230507_134200",0.0037732172787798
"B111","20230507_134800",0.00265242177835826
"B111","20230507_135400",0.00328200520363553
"B111","20230507_140000",0.00355764226867685
"B111","20230507_140600",0.00306409728103109
"B111","20230507_141200",0.00400532890027438
"B111","20230507_141800",0.00372859908780105
"B111","20230507_142400",0.00283667771965188
"B111","20230507_143000",0.00315814102824354
"B111","20230507_143600",0.00278392140215227
"B111","20230507_144200",0.00304185394803154
"B111","20230507_144800",0.00415538721336997
"B111","20230507_145400",0.00323587782238908
"B111","20230507_150000",0.00297544193372674
"B111","20230507_150600",0.00341360970398591
"B111","20230507_151200",0.00365940629626421
"B111","20230507_151800",0.00316646472783117
"B111","20230507_152400",0.00335490695663772
"B111","20230507_153000",0.00309321125636234
"B111","20230507_153600",0.0031371469062898
"B111","20230507_154200",0.00378736917503383
"B111","20230507_154800",0.00323532475449372
"B111","20230507_155400",0.00357113910905985
"B111","20230507_160000",0.0032569782162283
"B111","20230507_160600",0.00323539177210021
"B111","20230507_161200",0.00362933264872751
"B111","20230507_161800",0.00313482624652274
"B111","20230507_162400",0.00275281858272782
"B111","20230507_163000",0.00291802553824542
"B111","20230507_163600",0.00288706166372968
"B111","20230507_164200",0.00313393099995274
"B111","20230507_164800",0.00267652369264122
"B111","20230507_165400",0.00291867126350124
"B111","20230507_170000",0.00322807197766965
"B111","20230507_170600",0.00300043110796533
"B111","20230507_171200",0.00289027322472278
"B111","20230507_171800",0.00290225984876428
"B111","20230507_172400",0.00269666486928145
"B111","20230507_173000",0.00255402954703944
"B111","20230507_173600",0.00312767994126617
"B111","20230507_174200",0.00286350269442781
"B111","20230507_174800",0.00369001281660062
"B111","20230507_175400",0.00312785896687079
"B111","20230507_180000",0.00344843441203985
"B111","20230507_180600",0.00276381124134673
"B111","20230507_181200",0.00275641116470641
"B111","20230507_181800",0.00283633615509638
"B111","20230507_182400",0.00303338870997328
"B111","20230507_183000",0.00263010964385876
"B111","20230507_183600",0.00279481148582245
"B111","20230507_184200",0.00254095940845672
"B111","20230507_184800",0.00253488360446673
"B111","20230507_185400",0.00283416105146093
"B111","20230507_190000",0.00259097446734619
"B111","20230507_190600",0.0028995466105375
"B111","20230507_191200",0.00352961048848278
"B111","20230507_191800",0.00298029485694296
"B111","20230507_192400",0.00292311641537565
"B111","20230507_193000",0.0034202302763515
"B111","20230507_193600",0.0035238734002284
"B111","20230507_194200",0.00324372547095261
"B111","20230507_194800",0.00301920802814874
"B111","20230507_195400",0.00322259247355947
"B111","20230507_200000",0.00298989921090585
"B111","20230507_200600",0.00334056037559844
"B111","20230507_201200",0.00273067042155934
"B111","20230507_201800",0.00299379802229199
"B111","20230507_202400",0.00270935733712455
"B111","20230507_203000",0.00256218974191403
"B111","20230507_203600",0.00331485693413207
"B111","20230507_204200",0.00357088849335882
"B111","20230507_204800",0.00284812196839998
"B111","20230507_205400",0.00307009003130881
"B111","20230507_210000",0.00318517539364386
"B111","20230507_210600",0.00352515484009419
"B111","20230507_211200",0.00273147629419316
"B111","20230507_211800",0.00301172183781156
"B111","20230507_212400",0.0028762488997736
"B111","20230507_213000",0.00289373729364267
"B111","20230507_213600",0.00339520976865114
"B111","20230507_214200",0.00377039316855843
"B111","20230507_214800",0.00355911273490903
"B111","20230507_215400",0.00341379189720268
"B111","20230507_220000",0.00321466006634688
"B111","20230507_220600",0.00394059429895265
"B111","20230507_221200",0.00285638268735622
"B111","20230507_221800",0.00319656033627698
"B111","20230507_222400",0.00436748549392507
"B111","20230507_223000",0.00330240152802596
"B111","20230507_223600",0.00340471905350996
"B111","20230507_224200",0.00312678223318795
"B111","20230507_224800",0.00337634596559119
"B111","20230507_225400",0.00376472756345177
"B111","20230507_230000",0.00376656556095932
"B111","20230507_230600",0.00404303615077502
"B111","20230507_231200",0.00344455099024855
"B111","20230507_231800",0.00339712334012692
"B111","20230507_232400",0.00316807143703374
"B111","20230507_233000",0.00320091544287769
"B111","20230507_233600",0.00255528539825778
"B111","20230507_234200",0.00292343049250818
"B111","20230507_234800",0.00370446459567852
"B111","20230507_235400",0.00323816335471945
"B112","20230507_000000",0.00353461175848529
"B112","20230507_000600",0.00268556356516111
"B112","20230507_001200",0.00228906727062315
"B112","20230507_001800",0.00437434106857314
"B112","20230507_002400",0.00360055313096116
"B112","20230507_003000",0.00312626267281278
"B112","20230507_003600",0.00288584017112954
"B112","20230507_004200",0.00189714161087339
"B112","20230507_004800",0.00296687261983087
"B112","20230507_005400",0.00327313867231161
"B112","20230507_010000",0.00344545633435671
"B112","20230507_010600",0.00479179891485691
"B112","20230507_011200",0.00270792285075778
"B112","20230507_011800",0.0028265173195679
"B112","20230507_012400",0.00232919923057543
"B112","20230507_013000",0.00308798263422319
"B112","20230507_013600",0.00212880368898446
"B112","20230507_014200",0.00251972493509894
"B112","20230507_014800",0.00383232848222443
"B112","20230507_015400",0.00270330243132304
"B112","20230507_020000",0.00313982562513766
"B112","20230507_020600",0.00316800792325353
"B112","20230507_021200",0.00257766690041577
"B112","20230507_021800",0.00258035872742123
"B112","20230507_022400",0.00226569149158168
"B112","20230507_023000",0.00216530053486114
"B112","20230507_023600",0.00254853387482118
"B112","20230507_024200",0.00206493776256989
"B112","20230507_024800",0.00243589247051454
"B112","20230507_025400",0.00269554196562547
"B112","20230507_030000",0.00253376182192381
"B112","20230507_030600",0.00274807792623273
"B112","20230507_031200",0.00239861954722957
"B112","20230507_031800",0.00314911337815144
"B112","20230507_032400",0.00326886259965684
"B112","20230507_033000",0.00298181888157327
"B112","20230507_033600",0.00235859501377566
"B112","20230507_034200",0.00325099412070906
"B112","20230507_034800",0.00279481442878695
"B112","20230507_035400",0.0022425013233021
"B112","20230507_040000",0.00342697998487057
"B112","20230507_040600",0.00312676269845011
"B112","20230507_041200",0.002761429862378
"B112","20230507_041800",0.00280363412166827
"B112","20230507_042400",0.00472918273061065
"B112","20230507_043000",0.00609467703563083
"B112","20230507_043600",0.00238255307182807
"B112","20230507_044200",0.00426210258876162
"B112","20230507_044800",0.00390882447104216
"B112","20230507_045400",0.00312822056328251
"B112","20230507_050000",0.00280143119796063
