"","Start..s.","End..s.","Scientific.name","Common.name","Confidence","Date_Time","Site"
"6",33,36,"Sylvia atricapilla","Eurasian Blackcap",0.8798,"20230518_160600","1"
"130",30,33,"Turdus merula","Eurasian Blackbird",0.8002,"20230518_191200","1"
"188",42,45,"Troglodytes troglodytes","Eurasian Wren",0.926,"20230518_200600","1"
"189",51,54,"Troglodytes troglodytes","Eurasian Wren",0.9552,"20230518_200600","1"
"201",0,3,"Turdus merula","Eurasian Blackbird",0.8322,"20230518_202400","1"
"203",6,9,"Turdus merula","Eurasian Blackbird",0.9689,"20230518_202400","1"
"206",18,21,"Turdus merula","Eurasian Blackbird",0.815,"20230518_202400","1"
"208",24,27,"Turdus merula","Eurasian Blackbird",0.9491,"20230518_202400","1"
"209",27,30,"Turdus merula","Eurasian Blackbird",0.9289,"20230518_202400","1"
"301",6,9,"Troglodytes troglodytes","Eurasian Wren",0.916,"20230519_044800","1"
"305",18,21,"Troglodytes troglodytes","Eurasian Wren",0.8884,"20230519_044800","1"
"307",27,30,"Troglodytes troglodytes","Eurasian Wren",0.8092,"20230519_044800","1"
"331",27,30,"Troglodytes troglodytes","Eurasian Wren",0.8701,"20230519_050600","1"
"333",36,39,"Turdus merula","Eurasian Blackbird",0.8752,"20230519_050600","1"
"337",51,54,"Troglodytes troglodytes","Eurasian Wren",0.9066,"20230519_050600","1"
"341",6,9,"Troglodytes troglodytes","Eurasian Wren",0.9608,"20230519_051200","1"
"346",18,21,"Troglodytes troglodytes","Eurasian Wren",0.95,"20230519_051200","1"
"349",33,36,"Troglodytes troglodytes","Eurasian Wren",0.9129,"20230519_051200","1"
"350",42,45,"Troglodytes troglodytes","Eurasian Wren",0.9651,"20230519_051200","1"
"351",45,48,"Troglodytes troglodytes","Eurasian Wren",0.8367,"20230519_051200","1"
"356",9,12,"Troglodytes troglodytes","Eurasian Wren",0.9068,"20230519_051800","1"
"357",12,15,"Troglodytes troglodytes","Eurasian Wren",0.8706,"20230519_051800","1"
"358",24,27,"Troglodytes troglodytes","Eurasian Wren",0.939,"20230519_051800","1"
"359",27,30,"Troglodytes troglodytes","Eurasian Wren",0.9177,"20230519_051800","1"
"360",3,6,"Troglodytes troglodytes","Eurasian Wren",0.9441,"20230519_052400","1"
"363",15,18,"Troglodytes troglodytes","Eurasian Wren",0.8951,"20230519_052400","1"
"365",24,27,"Troglodytes troglodytes","Eurasian Wren",0.8195,"20230519_052400","1"
"366",27,30,"Troglodytes troglodytes","Eurasian Wren",0.9247,"20230519_052400","1"
"367",30,33,"Regulus ignicapilla","Common Firecrest",0.8317,"20230519_052400","1"
"368",39,42,"Troglodytes troglodytes","Eurasian Wren",0.9631,"20230519_052400","1"
"369",42,45,"Troglodytes troglodytes","Eurasian Wren",0.8072,"20230519_052400","1"
"394",54,57,"Picus viridis","Eurasian Green Woodpecker",0.9659,"20230519_054800","1"
"445",54,57,"Cyanistes caeruleus","Eurasian Blue Tit",0.9235,"20230519_063000","1"
"477",15,18,"Troglodytes troglodytes","Eurasian Wren",0.9572,"20230519_070600","1"
"479",21,24,"Troglodytes troglodytes","Eurasian Wren",0.9753,"20230519_070600","1"
"480",24,27,"Troglodytes troglodytes","Eurasian Wren",0.9349,"20230519_070600","1"
"482",36,39,"Troglodytes troglodytes","Eurasian Wren",0.9356,"20230519_070600","1"
"494",0,3,"Troglodytes troglodytes","Eurasian Wren",0.8515,"20230519_071800","1"
"495",3,6,"Troglodytes troglodytes","Eurasian Wren",0.9615,"20230519_071800","1"
"496",12,15,"Troglodytes troglodytes","Eurasian Wren",0.9881,"20230519_071800","1"
"497",15,18,"Troglodytes troglodytes","Eurasian Wren",0.9554,"20230519_071800","1"
"498",24,27,"Troglodytes troglodytes","Eurasian Wren",0.9783,"20230519_071800","1"
"499",27,30,"Troglodytes troglodytes","Eurasian Wren",0.9708,"20230519_071800","1"
"501",36,39,"Troglodytes troglodytes","Eurasian Wren",0.9853,"20230519_071800","1"
"502",39,42,"Troglodytes troglodytes","Eurasian Wren",0.9629,"20230519_071800","1"
"503",48,51,"Troglodytes troglodytes","Eurasian Wren",0.8541,"20230519_071800","1"
"504",51,54,"Troglodytes troglodytes","Eurasian Wren",0.9843,"20230519_071800","1"
"505",0,3,"Troglodytes troglodytes","Eurasian Wren",0.9252,"20230519_072400","1"
"506",3,6,"Troglodytes troglodytes","Eurasian Wren",0.9363,"20230519_072400","1"
"507",15,18,"Troglodytes troglodytes","Eurasian Wren",0.9713,"20230519_072400","1"
"508",18,21,"Troglodytes troglodytes","Eurasian Wren",0.9727,"20230519_072400","1"
"509",30,33,"Troglodytes troglodytes","Eurasian Wren",0.9792,"20230519_072400","1"
"512",48,51,"Troglodytes troglodytes","Eurasian Wren",0.9457,"20230519_072400","1"
"585",0,3,"Troglodytes troglodytes","Eurasian Wren",0.9657,"20230519_083000","1"
"609",15,18,"Troglodytes troglodytes","Eurasian Wren",0.8011,"20230519_084200","1"
"632",36,39,"Troglodytes troglodytes","Eurasian Wren",0.8527,"20230519_090000","1"
"657",45,48,"Troglodytes troglodytes","Eurasian Wren",0.8583,"20230519_093000","1"
"658",48,51,"Troglodytes troglodytes","Eurasian Wren",0.9305,"20230519_093000","1"
"660",57,60,"Troglodytes troglodytes","Eurasian Wren",0.8726,"20230519_093000","1"
"662",9,12,"Troglodytes troglodytes","Eurasian Wren",0.8083,"20230519_093600","1"
"693",27,30,"Troglodytes troglodytes","Eurasian Wren",0.9107,"20230519_100000","1"
"708",21,24,"Troglodytes troglodytes","Eurasian Wren",0.8892,"20230519_101200","1"
"712",42,45,"Troglodytes troglodytes","Eurasian Wren",0.9474,"20230519_101200","1"
"723",54,57,"Troglodytes troglodytes","Eurasian Wren",0.8383,"20230519_101800","1"
"724",57,60,"Troglodytes troglodytes","Eurasian Wren",0.837,"20230519_101800","1"
"733",9,12,"Sylvia atricapilla","Eurasian Blackcap",0.951,"20230519_103600","1"
"735",21,24,"Sylvia atricapilla","Eurasian Blackcap",0.8094,"20230519_103600","1"
"737",33,36,"Sylvia atricapilla","Eurasian Blackcap",0.9244,"20230519_103600","1"
"774",18,21,"Troglodytes troglodytes","Eurasian Wren",0.8585,"20230519_110600","1"
"792",0,3,"Turdus merula","Eurasian Blackbird",0.943,"20230519_111800","1"
"793",6,9,"Turdus merula","Eurasian Blackbird",0.8751,"20230519_111800","1"
"810",12,15,"Turdus merula","Eurasian Blackbird",0.839,"20230519_113600","1"
"813",30,33,"Troglodytes troglodytes","Eurasian Wren",0.933,"20230519_113600","1"
"814",33,36,"Troglodytes troglodytes","Eurasian Wren",0.9158,"20230519_113600","1"
"816",45,48,"Troglodytes troglodytes","Eurasian Wren",0.8195,"20230519_113600","1"
"817",48,51,"Troglodytes troglodytes","Eurasian Wren",0.9528,"20230519_113600","1"
"818",51,54,"Troglodytes troglodytes","Eurasian Wren",0.9595,"20230519_113600","1"
"819",0,3,"Troglodytes troglodytes","Eurasian Wren",0.9227,"20230519_114200","1"
"820",3,6,"Troglodytes troglodytes","Eurasian Wren",0.8236,"20230519_114200","1"
"822",15,18,"Troglodytes troglodytes","Eurasian Wren",0.9673,"20230519_114200","1"
"825",30,33,"Troglodytes troglodytes","Eurasian Wren",0.8865,"20230519_114200","1"
"826",33,36,"Troglodytes troglodytes","Eurasian Wren",0.9331,"20230519_114200","1"
"862",27,30,"Sylvia atricapilla","Eurasian Blackcap",0.9822,"20230519_123000","1"
"950",21,24,"Turdus merula","Eurasian Blackbird",0.8329,"20230519_141200","1"
"962",15,18,"Turdus merula","Eurasian Blackbird",0.8614,"20230519_141800","1"
"964",21,24,"Turdus merula","Eurasian Blackbird",0.8627,"20230519_141800","1"
"967",33,36,"Turdus merula","Eurasian Blackbird",0.8039,"20230519_141800","1"
"1010",54,57,"Troglodytes troglodytes","Eurasian Wren",0.88,"20230519_150000","1"
"1077",6,9,"Turdus merula","Eurasian Blackbird",0.8734,"20230519_160600","1"
"1080",18,21,"Turdus merula","Eurasian Blackbird",0.9895,"20230519_160600","1"
"1083",30,33,"Turdus merula","Eurasian Blackbird",0.9893,"20230519_160600","1"
"1084",36,39,"Turdus merula","Eurasian Blackbird",0.8931,"20230519_160600","1"
"1085",45,48,"Turdus merula","Eurasian Blackbird",0.8541,"20230519_160600","1"
"1088",0,3,"Troglodytes troglodytes","Eurasian Wren",0.8454,"20230519_161200","1"
"1090",12,15,"Troglodytes troglodytes","Eurasian Wren",0.8003,"20230519_161200","1"
"1092",27,30,"Troglodytes troglodytes","Eurasian Wren",0.8509,"20230519_161200","1"
"1152",3,6,"Turdus merula","Eurasian Blackbird",0.8631,"20230519_171200","1"
"1153",15,18,"Turdus merula","Eurasian Blackbird",0.8664,"20230519_171200","1"
"1157",36,39,"Turdus merula","Eurasian Blackbird",0.8856,"20230519_171200","1"
"1158",45,48,"Turdus merula","Eurasian Blackbird",0.9158,"20230519_171200","1"
"1160",3,6,"Turdus merula","Eurasian Blackbird",0.9668,"20230519_171800","1"
"1187",12,15,"Turdus merula","Eurasian Blackbird",0.8242,"20230519_180000","1"
"1209",39,42,"Turdus merula","Eurasian Blackbird",0.8241,"20230519_180600","1"
"1267",42,45,"Turdus merula","Eurasian Blackbird",0.8927,"20230519_184200","1"
"1274",6,9,"Turdus merula","Eurasian Blackbird",0.8965,"20230519_184800","1"
"1276",12,15,"Turdus merula","Eurasian Blackbird",0.9306,"20230519_184800","1"
"1286",39,42,"Turdus merula","Eurasian Blackbird",0.8005,"20230519_184800","1"
"1288",45,48,"Turdus merula","Eurasian Blackbird",0.8746,"20230519_184800","1"
"1289",54,57,"Turdus merula","Eurasian Blackbird",0.9614,"20230519_184800","1"
"1324",45,48,"Alcedo atthis","Common Kingfisher",0.8123,"20230519_193600","1"
"1343",27,30,"Picus viridis","Eurasian Green Woodpecker",0.894,"20230519_201800","1"
"1344",30,33,"Picus viridis","Eurasian Green Woodpecker",0.8988,"20230519_201800","1"
"1359",0,3,"Dendrocopos major","Great Spotted Woodpecker",0.844,"20230519_204200","1"
"1403",15,18,"Erithacus rubecula","European Robin",0.8122,"20230519_205400","1"
"1417",45,48,"Strix aluco","Tawny Owl",0.8967,"20230519_205400","1"
"1425",0,3,"Turdus merula","Eurasian Blackbird",0.9459,"20230519_210000","1"
"1426",3,6,"Turdus merula","Eurasian Blackbird",0.8783,"20230519_210000","1"
"1428",9,12,"Turdus merula","Eurasian Blackbird",0.8316,"20230519_210000","1"
"1429",12,15,"Turdus merula","Eurasian Blackbird",0.9591,"20230519_210000","1"
"1431",18,21,"Turdus merula","Eurasian Blackbird",0.8111,"20230519_210000","1"
"1432",21,24,"Turdus merula","Eurasian Blackbird",0.8962,"20230519_210000","1"
"1433",24,27,"Turdus merula","Eurasian Blackbird",0.9361,"20230519_210000","1"
"1434",27,30,"Turdus merula","Eurasian Blackbird",0.9273,"20230519_210000","1"
"1435",30,33,"Turdus merula","Eurasian Blackbird",0.8619,"20230519_210000","1"
"1436",33,36,"Turdus merula","Eurasian Blackbird",0.9378,"20230519_210000","1"
"1437",36,39,"Turdus merula","Eurasian Blackbird",0.9688,"20230519_210000","1"
"1439",42,45,"Turdus merula","Eurasian Blackbird",0.945,"20230519_210000","1"
"1453",27,30,"Erithacus rubecula","European Robin",0.8662,"20230519_210600","1"
"1460",54,57,"Erithacus rubecula","European Robin",0.9312,"20230519_210600","1"
"1467",30,33,"Erithacus rubecula","European Robin",0.8588,"20230519_211200","1"
"1478",0,3,"Strix aluco","Tawny Owl",0.9893,"20230519_233000","1"
"1479",3,6,"Strix aluco","Tawny Owl",0.9857,"20230519_233000","1"
"1480",6,9,"Strix aluco","Tawny Owl",0.9808,"20230519_233000","1"
"1481",9,12,"Strix aluco","Tawny Owl",0.9778,"20230519_233000","1"
"1482",12,15,"Strix aluco","Tawny Owl",0.9685,"20230519_233000","1"
"1483",15,18,"Strix aluco","Tawny Owl",0.9846,"20230519_233000","1"
"1484",18,21,"Strix aluco","Tawny Owl",0.9946,"20230519_233000","1"
"1485",21,24,"Strix aluco","Tawny Owl",0.9695,"20230519_233000","1"
"1486",24,27,"Strix aluco","Tawny Owl",0.9949,"20230519_233000","1"
"1487",27,30,"Strix aluco","Tawny Owl",0.9953,"20230519_233000","1"
"1488",30,33,"Strix aluco","Tawny Owl",0.9957,"20230519_233000","1"
"1489",33,36,"Strix aluco","Tawny Owl",0.9927,"20230519_233000","1"
"1490",36,39,"Strix aluco","Tawny Owl",0.9716,"20230519_233000","1"
"1491",39,42,"Strix aluco","Tawny Owl",0.9873,"20230519_233000","1"
"1492",42,45,"Strix aluco","Tawny Owl",0.9729,"20230519_233000","1"
"1493",45,48,"Strix aluco","Tawny Owl",0.987,"20230519_233000","1"
"1494",48,51,"Strix aluco","Tawny Owl",0.9797,"20230519_233000","1"
"1495",51,54,"Strix aluco","Tawny Owl",0.9506,"20230519_233000","1"
"1497",57,60,"Strix aluco","Tawny Owl",0.9612,"20230519_233000","1"
"1509",12,15,"Troglodytes troglodytes","Eurasian Wren",0.8399,"20230520_044200","1"
"1518",39,42,"Troglodytes troglodytes","Eurasian Wren",0.8314,"20230520_044200","1"
"1523",54,57,"Troglodytes troglodytes","Eurasian Wren",0.8941,"20230520_044200","1"
"1525",0,3,"Troglodytes troglodytes","Eurasian Wren",0.8981,"20230520_044800","1"
"1529",15,18,"Troglodytes troglodytes","Eurasian Wren",0.8068,"20230520_044800","1"
"1533",27,30,"Troglodytes troglodytes","Eurasian Wren",0.8403,"20230520_044800","1"
"1537",39,42,"Troglodytes troglodytes","Eurasian Wren",0.8214,"20230520_044800","1"
"1539",45,48,"Turdus merula","Eurasian Blackbird",0.8708,"20230520_044800","1"
"1541",51,54,"Troglodytes troglodytes","Eurasian Wren",0.88,"20230520_044800","1"
"1547",12,15,"Troglodytes troglodytes","Eurasian Wren",0.9105,"20230520_045400","1"
"1550",24,27,"Troglodytes troglodytes","Eurasian Wren",0.8567,"20230520_045400","1"
"1552",33,36,"Troglodytes troglodytes","Eurasian Wren",0.9189,"20230520_045400","1"
"1556",45,48,"Troglodytes troglodytes","Eurasian Wren",0.8511,"20230520_045400","1"
"1560",3,6,"Troglodytes troglodytes","Eurasian Wren",0.8559,"20230520_050000","1"
"1561",6,9,"Troglodytes troglodytes","Eurasian Wren",0.8612,"20230520_050000","1"
"1564",15,18,"Troglodytes troglodytes","Eurasian Wren",0.9424,"20230520_050000","1"
"1567",24,27,"Troglodytes troglodytes","Eurasian Wren",0.9506,"20230520_050000","1"
"1568",27,30,"Troglodytes troglodytes","Eurasian Wren",0.9513,"20230520_050000","1"
"1569",36,39,"Troglodytes troglodytes","Eurasian Wren",0.8255,"20230520_050000","1"
"1570",39,42,"Troglodytes troglodytes","Eurasian Wren",0.874,"20230520_050000","1"
"1572",48,51,"Troglodytes troglodytes","Eurasian Wren",0.925,"20230520_050000","1"
"1573",51,54,"Troglodytes troglodytes","Eurasian Wren",0.8354,"20230520_050000","1"
"1578",15,18,"Troglodytes troglodytes","Eurasian Wren",0.8712,"20230520_050600","1"
"1584",27,30,"Troglodytes troglodytes","Eurasian Wren",0.9565,"20230520_050600","1"
"1596",51,54,"Troglodytes troglodytes","Eurasian Wren",0.9191,"20230520_050600","1"
"1597",54,57,"Troglodytes troglodytes","Eurasian Wren",0.8502,"20230520_050600","1"
"1602",15,18,"Troglodytes troglodytes","Eurasian Wren",0.9345,"20230520_051200","1"
"1606",27,30,"Troglodytes troglodytes","Eurasian Wren",0.9291,"20230520_051200","1"
"1608",36,39,"Troglodytes troglodytes","Eurasian Wren",0.9671,"20230520_051200","1"
"1609",39,42,"Troglodytes troglodytes","Eurasian Wren",0.8875,"20230520_051200","1"
"1611",48,51,"Troglodytes troglodytes","Eurasian Wren",0.8846,"20230520_051200","1"
"1612",57,60,"Troglodytes troglodytes","Eurasian Wren",0.9003,"20230520_051200","1"
"1616",6,9,"Troglodytes troglodytes","Eurasian Wren",0.8028,"20230520_051800","1"
"1705",6,9,"Troglodytes troglodytes","Eurasian Wren",0.8553,"20230520_061800","1"
"1709",15,18,"Troglodytes troglodytes","Eurasian Wren",0.8822,"20230520_061800","1"
"1710",18,21,"Troglodytes troglodytes","Eurasian Wren",0.9395,"20230520_061800","1"
"1712",27,30,"Troglodytes troglodytes","Eurasian Wren",0.8341,"20230520_061800","1"
"1715",39,42,"Troglodytes troglodytes","Eurasian Wren",0.9628,"20230520_061800","1"
"1718",51,54,"Troglodytes troglodytes","Eurasian Wren",0.8586,"20230520_061800","1"
"1719",54,57,"Troglodytes troglodytes","Eurasian Wren",0.9295,"20230520_061800","1"
"1770",21,24,"Troglodytes troglodytes","Eurasian Wren",0.8952,"20230520_070600","1"
"1774",39,42,"Troglodytes troglodytes","Eurasian Wren",0.8893,"20230520_070600","1"
"1775",42,45,"Troglodytes troglodytes","Eurasian Wren",0.9191,"20230520_070600","1"
"1777",54,57,"Troglodytes troglodytes","Eurasian Wren",0.8793,"20230520_070600","1"
"1778",57,60,"Troglodytes troglodytes","Eurasian Wren",0.8341,"20230520_070600","1"
"1782",57,60,"Troglodytes troglodytes","Eurasian Wren",0.9019,"20230520_071200","1"
"1784",6,9,"Troglodytes troglodytes","Eurasian Wren",0.9821,"20230520_071800","1"
"1787",42,45,"Troglodytes troglodytes","Eurasian Wren",0.9229,"20230520_071800","1"
"1788",45,48,"Troglodytes troglodytes","Eurasian Wren",0.9901,"20230520_071800","1"
"1789",48,51,"Troglodytes troglodytes","Eurasian Wren",0.9342,"20230520_071800","1"
"1794",6,9,"Troglodytes troglodytes","Eurasian Wren",0.9808,"20230520_073000","1"
"1796",15,18,"Troglodytes troglodytes","Eurasian Wren",0.8733,"20230520_073000","1"
"1797",18,21,"Troglodytes troglodytes","Eurasian Wren",0.9829,"20230520_073000","1"
"1801",30,33,"Troglodytes troglodytes","Eurasian Wren",0.985,"20230520_073000","1"
"1804",45,48,"Troglodytes troglodytes","Eurasian Wren",0.9688,"20230520_073000","1"
"1805",54,57,"Troglodytes troglodytes","Eurasian Wren",0.9301,"20230520_073000","1"
"1866",12,15,"Troglodytes troglodytes","Eurasian Wren",0.9872,"20230520_081800","1"
"1867",15,18,"Troglodytes troglodytes","Eurasian Wren",0.9809,"20230520_081800","1"
"1868",24,27,"Troglodytes troglodytes","Eurasian Wren",0.9853,"20230520_081800","1"
"1869",27,30,"Troglodytes troglodytes","Eurasian Wren",0.9878,"20230520_081800","1"
"1870",36,39,"Troglodytes troglodytes","Eurasian Wren",0.9773,"20230520_081800","1"
"1871",39,42,"Troglodytes troglodytes","Eurasian Wren",0.9868,"20230520_081800","1"
"1872",48,51,"Troglodytes troglodytes","Eurasian Wren",0.9918,"20230520_081800","1"
"1873",51,54,"Troglodytes troglodytes","Eurasian Wren",0.9683,"20230520_081800","1"
"1875",9,12,"Troglodytes troglodytes","Eurasian Wren",0.961,"20230520_082400","1"
"1878",21,24,"Troglodytes troglodytes","Eurasian Wren",0.9667,"20230520_082400","1"
"1879",24,27,"Troglodytes troglodytes","Eurasian Wren",0.9558,"20230520_082400","1"
"1902",15,18,"Troglodytes troglodytes","Eurasian Wren",0.8082,"20230520_090600","1"
"1911",6,9,"Troglodytes troglodytes","Eurasian Wren",0.8132,"20230520_091800","1"
"1915",51,54,"Troglodytes troglodytes","Eurasian Wren",0.8098,"20230520_091800","1"
"1945",48,51,"Troglodytes troglodytes","Eurasian Wren",0.8333,"20230520_094800","1"
"1946",0,3,"Troglodytes troglodytes","Eurasian Wren",0.9344,"20230520_095400","1"
"1947",3,6,"Troglodytes troglodytes","Eurasian Wren",0.9856,"20230520_095400","1"
"1972",15,18,"Troglodytes troglodytes","Eurasian Wren",0.9038,"20230520_101800","1"
"1994",9,12,"Troglodytes troglodytes","Eurasian Wren",0.9076,"20230520_103000","1"
"1995",12,15,"Troglodytes troglodytes","Eurasian Wren",0.9102,"20230520_103000","1"
"2086",36,39,"Alcedo atthis","Common Kingfisher",0.914,"20230520_111800","1"
"2343",18,21,"Turdus merula","Eurasian Blackbird",0.8871,"20230520_180000","1"
"2368",15,18,"Turdus merula","Eurasian Blackbird",0.8943,"20230520_182400","1"
"2370",21,24,"Turdus merula","Eurasian Blackbird",0.8277,"20230520_182400","1"
"2371",24,27,"Turdus merula","Eurasian Blackbird",0.8834,"20230520_182400","1"
"2399",39,42,"Erithacus rubecula","European Robin",0.9153,"20230520_193600","1"
"2482",54,57,"Strix aluco","Tawny Owl",0.9918,"20230520_214800","1"
"2483",57,60,"Strix aluco","Tawny Owl",0.9663,"20230520_214800","1"
"2506",9,12,"Troglodytes troglodytes","Eurasian Wren",0.8681,"20230521_044800","1"
"2508",21,24,"Troglodytes troglodytes","Eurasian Wren",0.8295,"20230521_044800","1"
"2511",36,39,"Troglodytes troglodytes","Eurasian Wren",0.8711,"20230521_044800","1"
"2515",51,54,"Troglodytes troglodytes","Eurasian Wren",0.8533,"20230521_044800","1"
"2521",12,15,"Troglodytes troglodytes","Eurasian Wren",0.8246,"20230521_045400","1"
"2523",21,24,"Troglodytes troglodytes","Eurasian Wren",0.9029,"20230521_045400","1"
"2527",33,36,"Troglodytes troglodytes","Eurasian Wren",0.8765,"20230521_045400","1"
"2529",42,45,"Troglodytes troglodytes","Eurasian Wren",0.8125,"20230521_045400","1"
"2532",54,57,"Troglodytes troglodytes","Eurasian Wren",0.9207,"20230521_045400","1"
"2535",6,9,"Troglodytes troglodytes","Eurasian Wren",0.972,"20230521_050000","1"
"2536",9,12,"Troglodytes troglodytes","Eurasian Wren",0.9133,"20230521_050000","1"
"2538",18,21,"Troglodytes troglodytes","Eurasian Wren",0.8941,"20230521_050000","1"
"2539",21,24,"Troglodytes troglodytes","Eurasian Wren",0.909,"20230521_050000","1"
"2541",30,33,"Troglodytes troglodytes","Eurasian Wren",0.9319,"20230521_050000","1"
"2544",39,42,"Troglodytes troglodytes","Eurasian Wren",0.9321,"20230521_050000","1"
"2546",54,57,"Troglodytes troglodytes","Eurasian Wren",0.9127,"20230521_050000","1"
"2549",3,6,"Troglodytes troglodytes","Eurasian Wren",0.8535,"20230521_050600","1"
"2550",6,9,"Troglodytes troglodytes","Eurasian Wren",0.86,"20230521_050600","1"
"2555",27,30,"Troglodytes troglodytes","Eurasian Wren",0.8627,"20230521_050600","1"
"2557",39,42,"Troglodytes troglodytes","Eurasian Wren",0.8968,"20230521_050600","1"
"2558",42,45,"Troglodytes troglodytes","Eurasian Wren",0.8109,"20230521_050600","1"
"2560",54,57,"Troglodytes troglodytes","Eurasian Wren",0.8332,"20230521_050600","1"
"2566",12,15,"Troglodytes troglodytes","Eurasian Wren",0.8422,"20230521_051200","1"
"2570",27,30,"Troglodytes troglodytes","Eurasian Wren",0.8713,"20230521_051200","1"
"2574",39,42,"Troglodytes troglodytes","Eurasian Wren",0.8575,"20230521_051200","1"
"2582",12,15,"Troglodytes troglodytes","Eurasian Wren",0.8817,"20230521_051800","1"
"2587",45,48,"Troglodytes troglodytes","Eurasian Wren",0.9149,"20230521_051800","1"
"2601",24,27,"Troglodytes troglodytes","Eurasian Wren",0.8261,"20230521_053000","1"
"2637",57,60,"Troglodytes troglodytes","Eurasian Wren",0.9334,"20230521_055400","1"
"2638",0,3,"Troglodytes troglodytes","Eurasian Wren",0.9593,"20230521_060000","1"
"2645",21,24,"Troglodytes troglodytes","Eurasian Wren",0.9399,"20230521_060000","1"
"2649",36,39,"Troglodytes troglodytes","Eurasian Wren",0.8345,"20230521_060000","1"
"2653",54,57,"Troglodytes troglodytes","Eurasian Wren",0.9262,"20230521_060000","1"
"2654",57,60,"Troglodytes troglodytes","Eurasian Wren",0.8496,"20230521_060000","1"
"2664",15,18,"Turdus merula","Eurasian Blackbird",0.816,"20230521_061200","1"
"2731",54,57,"Turdus merula","Eurasian Blackbird",0.8882,"20230521_062400","1"
"2768",6,9,"Troglodytes troglodytes","Eurasian Wren",0.8579,"20230521_064800","1"
"2781",6,9,"Troglodytes troglodytes","Eurasian Wren",0.9697,"20230521_065400","1"
"2782",9,12,"Troglodytes troglodytes","Eurasian Wren",0.9931,"20230521_065400","1"
"2783",36,39,"Troglodytes troglodytes","Eurasian Wren",0.8041,"20230521_065400","1"
"2785",57,60,"Troglodytes troglodytes","Eurasian Wren",0.8812,"20230521_065400","1"
"2788",3,6,"Troglodytes troglodytes","Eurasian Wren",0.9858,"20230521_070600","1"
"2789",15,18,"Troglodytes troglodytes","Eurasian Wren",0.9698,"20230521_070600","1"
"2790",18,21,"Troglodytes troglodytes","Eurasian Wren",0.9442,"20230521_070600","1"
"2791",27,30,"Troglodytes troglodytes","Eurasian Wren",0.9877,"20230521_070600","1"
"2792",39,42,"Troglodytes troglodytes","Eurasian Wren",0.8924,"20230521_070600","1"
"2793",42,45,"Troglodytes troglodytes","Eurasian Wren",0.9252,"20230521_070600","1"
"2796",54,57,"Troglodytes troglodytes","Eurasian Wren",0.9842,"20230521_070600","1"
"2823",3,6,"Troglodytes troglodytes","Eurasian Wren",0.8063,"20230521_073600","1"
"2836",0,3,"Troglodytes troglodytes","Eurasian Wren",0.8837,"20230521_074800","1"
"2837",3,6,"Troglodytes troglodytes","Eurasian Wren",0.8503,"20230521_074800","1"
"2840",21,24,"Troglodytes troglodytes","Eurasian Wren",0.8908,"20230521_074800","1"
"2842",36,39,"Troglodytes troglodytes","Eurasian Wren",0.968,"20230521_074800","1"
"2847",54,57,"Troglodytes troglodytes","Eurasian Wren",0.9364,"20230521_074800","1"
"2889",18,21,"Troglodytes troglodytes","Eurasian Wren",0.8724,"20230521_082400","1"
"2891",33,36,"Troglodytes troglodytes","Eurasian Wren",0.9246,"20230521_082400","1"
"2892",0,3,"Troglodytes troglodytes","Eurasian Wren",0.9619,"20230521_083000","1"
"2893",3,6,"Troglodytes troglodytes","Eurasian Wren",0.8674,"20230521_083000","1"
"2896",18,21,"Troglodytes troglodytes","Eurasian Wren",0.9134,"20230521_083000","1"
"2897",21,24,"Troglodytes troglodytes","Eurasian Wren",0.9446,"20230521_083000","1"
"2900",33,36,"Troglodytes troglodytes","Eurasian Wren",0.9785,"20230521_083000","1"
"2902",45,48,"Troglodytes troglodytes","Eurasian Wren",0.9529,"20230521_083000","1"
"2903",48,51,"Troglodytes troglodytes","Eurasian Wren",0.8031,"20230521_083000","1"
"2904",57,60,"Troglodytes troglodytes","Eurasian Wren",0.9066,"20230521_083000","1"
"2932",27,30,"Troglodytes troglodytes","Eurasian Wren",0.9728,"20230521_085400","1"
"2933",30,33,"Troglodytes troglodytes","Eurasian Wren",0.9477,"20230521_085400","1"
"2934",39,42,"Troglodytes troglodytes","Eurasian Wren",0.947,"20230521_085400","1"
"2935",42,45,"Troglodytes troglodytes","Eurasian Wren",0.9544,"20230521_085400","1"
"2937",54,57,"Troglodytes troglodytes","Eurasian Wren",0.9539,"20230521_085400","1"
"2944",18,21,"Troglodytes troglodytes","Eurasian Wren",0.8301,"20230521_090000","1"
"2976",9,12,"Aegithalos caudatus","Long-tailed Tit",0.803,"20230521_093000","1"
"2978",24,27,"Aegithalos caudatus","Long-tailed Tit",0.8851,"20230521_093000","1"
"3034",9,12,"Aegithalos caudatus","Long-tailed Tit",0.8009,"20230521_100600","1"
"3085",15,18,"Aegithalos caudatus","Long-tailed Tit",0.9066,"20230521_105400","1"
"3149",54,57,"Troglodytes troglodytes","Eurasian Wren",0.956,"20230521_120600","1"
"3152",6,9,"Dendrocopos major","Great Spotted Woodpecker",0.9205,"20230521_121800","1"
"3161",51,54,"Troglodytes troglodytes","Eurasian Wren",0.8212,"20230521_121800","1"
"3201",18,21,"Troglodytes troglodytes","Eurasian Wren",0.925,"20230521_130000","1"
"3202",21,24,"Troglodytes troglodytes","Eurasian Wren",0.9638,"20230521_130000","1"
